ID;OutcomeType;AnimalType;DaysUponOutcome;Sex;Neutered;isMix;nbrofColors;hasName
A671945;3;1;0.05;1;1;1;2;1
A656520;2;0;0.05;0;1;1;1;1
A686464;0;1;0.1;1;1;1;2;1
A683430;4;0;0.0028767123287671234;1;0;1;1;0
A667013;4;1;0.1;1;1;0;1;0
A677334;4;1;0.00410958904109589;0;0;0;2;1
A699218;4;0;0.0028767123287671234;1;0;1;1;1
A701489;4;0;0.0028767123287671234;2;2;1;1;0
A671784;0;1;0.02054794520547945;0;1;1;2;1
A677747;0;1;0.05;0;1;0;1;0
A668402;4;0;0.1;2;2;1;1;0
A666320;0;1;0.1;0;1;1;1;0
A684601;0;1;0.2;1;1;1;1;1
A704702;3;1;0.1;1;1;1;2;1
A688584;3;1;0.05;1;1;1;2;1
A678825;0;0;0.012328767123287671;1;1;1;2;1
A678050;4;0;0.0028767123287671234;1;0;1;1;0
A680028;4;1;0.0019178082191780822;0;0;1;2;0
A679010;4;0;0.1;0;0;1;1;1
A684787;3;1;0.05;1;1;1;1;1
A670658;4;1;0.00821917808219178;1;0;1;2;1
A708812;4;0;0.05;0;1;1;1;1
A705262;0;1;0.1;0;1;0;2;1
A665781;0;1;0.0410958904109589;1;1;1;2;1
A676333;3;1;0.00821917808219178;1;1;1;2;1
A712750;4;0;0.00410958904109589;0;0;1;1;1
A718832;0;1;0.024657534246575342;0;1;1;2;1
A698777;0;1;0.25;0;1;1;2;1
A715348;0;0;0.00821917808219178;0;1;1;2;1
A708666;3;0;0.35;1;1;1;1;1
A718535;2;0;0.15;0;1;1;1;0
A707341;4;1;0.01643835616438356;1;0;1;2;1
A682532;0;0;0.00821917808219178;0;1;1;1;0
A666825;3;1;0.25;1;1;0;2;1
A699723;4;1;0.15;1;1;1;1;1
A668626;2;1;0.15;1;0;1;1;0
A657085;3;1;0.15;1;1;1;2;1
A682413;4;0;0.00821917808219178;1;0;1;2;0
A702655;4;0;0.01643835616438356;1;1;1;2;1
A707503;4;0;0.0028767123287671234;1;0;1;1;0
A697199;0;0;0.35;0;1;1;1;1
A705598;4;0;0.00821917808219178;1;0;1;1;0
A668388;4;0;0.00821917808219178;0;0;1;1;1
A671181;4;0;0.2;1;0;1;2;0
A676766;0;0;0.1;1;1;1;2;1
A686716;3;1;0.6;1;1;0;1;1
A684475;3;0;0.45;0;1;1;2;1
A701804;4;0;0.0028767123287671234;0;0;1;1;0
A697852;0;1;0.02054794520547945;0;1;1;2;1
A666092;2;1;0.3;1;0;0;2;0
A684050;4;0;0.05;0;0;1;1;0
A710107;0;0;0.012328767123287671;0;1;1;1;1
